address,lat,lon,total_tickets,total_owed,total_paid
11738 S. PRINCETON AVE,41.680896,-87.6301371,4,11204.79,0
11747 S. LOWE AVE,41.680476,-87.638112,1,2399.71,0
11801 S. PEORIA ST,41.679468,-87.644043,6,14453.2,0
11811 S. VINCENNES AVE,41.6792234,-87.6704612,1,431.53,0
11818 S. EMERALD AVE,41.6790538,-87.6410771,15,34943.76,0
11825 S. LOWE AVE,41.678952,-87.637987,2,5232.57,0
11832 S. UNION AVE,41.6787169,-87.6398253,8,20249.47,62.02
11837 S. EGGLESTON AVE,41.678692,-87.633159,1,972.03,0
11840 S. LOWE AVE,41.6785269,-87.6386207,13,20731.19,0
11939 S. NORMAL AVE,41.6767377,-87.6343896,20,41307.83,0
12044 S. EMERALD AVE,41.674692,-87.6409045,1,1840,0
1207 W. 109TH ST,41.6956675,-87.65267,17,29782.15,0
12225 S. JUSTINE ST,41.671278,-87.660248,7,13704.82,0
12225 S. WALLACE ST,41.6716915,-87.6365562,5,12504.75,0
12225-12230 S. WALLACE ST,41.6716915,-87.6365562,3,3419.58,0
12230 S. WALLACE ST,41.6714668,-87.6371741,3,5931.77,0
12234 S. MICHIGAN AVE,41.671465,-87.6206739,8,15469.97,0
1224 W. 72ND ST,41.7634815,-87.6550028,4,4896.92,0
1228 W. 108TH PL,41.6970319,-87.653537,8,17482.96,0
1230 W. 108TH PL,41.6970311,-87.6535953,21,33582.26,0
12320 S. PERRY AVE,41.670052,-87.625175,4,7770.11,0
1233 W. 109TH ST,41.6956497,-87.6535195,3,7073.02,0
12333 S. EMERALD AVE,41.66955,-87.640092,1,1425.82,0
1239 W. 71ST PL,41.763878,-87.6555483,3,5353.72,0
12400 S. PARNELL AVE,41.6686333,-87.6358161,18,34331.05,0
12406 S. PARNELL AVE,41.66847,-87.6359095,14,28754.26,0
1241 W. 71ST PL,41.7638582,-87.6555745,4,14787.89,0
1243 W. 69TH ST,41.768411,-87.655912,5,16082.32,0
1243 W. 71ST PL,41.763868,-87.655789,4,10031.92,0
1244 E. 73RD ST,41.762611,-87.593949,5,25408.9,0
1245 S. KOLIN AVE,41.8646812,-87.7333518,3,4411.88,0
1245-1247 S. KOLIN AVE,41.8646812,-87.7333518,1,2390.23,0
125 W. 103RD ST,41.706865,-87.626969,1,1745.91,0
1250 W. 108TH ST,41.697951,-87.654147,20,33045.12,0
12624 S. INDIANA AVE,41.664254,-87.617739,1,3219.52,0
1271 W. 74TH PL,41.7584617,-87.6566295,8,18214.19,0
1279 W. 73RD PL,41.760295,-87.6569763,4,14532.32,0
1302 W. 110TH ST,41.6943,-87.654824,2,18050.42,0
1302 W. 71ST PL,41.764365,-87.657586,28,57633.14,0
1308 W. 71ST PL,41.7643449,-87.6577792,26,68247.79,0
1308 W. 72ND ST,41.7634344,-87.6576699,18,37011.38,0
1310 S. CLAREMONT AVE,41.8644511,-87.6854051,15,29345.21,0
1310 S. CLAREMONT ST,41.8644511,-87.6854051,1,0,140
1312 S. HEATH AVE,41.8643555,-87.6845583,4,7284.52,1021.39
1314 W. 73RD ST,41.761626,-87.6579749,1,2578.79,0
1315 S. HEATH AVE,41.8644253,-87.6842285,3,3393.53,0
1318 W. 74TH ST,41.7597948,-87.6579093,6,15957.85,0
132 W. 108TH PL,41.6973485,-87.6269551,2,4147.24,0
1320 W. 74TH ST,41.759805,-87.658171,14,30286.2,0
1326 W. 74TH ST,41.7597734,-87.6583729,10,17158.59,0
13307 S. CALUMET AVE,41.6531141,-87.6137204,3,5525.07,0
1334 W. 110TH ST,41.6942644,-87.6560315,10,15594.29,0
1334-1336 W. 110TH ST,41.6942644,-87.6560315,7,13258.61,0
1336 W. 110TH ST,41.6942643,-87.6560351,3,0,0
1338 S. KILDARE AVE,41.8633186,-87.7326221,28,36210.1,0
1349 W. 47TH ST,41.80843,-87.659505,3,7320.96,0
137 W. 127TH ST,41.6641356,-87.6257628,11,20554.74,0
139 W. 66TH ST,41.774257,-87.629118,8,16862.74,0
1402 W. 74TH ST,41.759791,-87.659144,22,50422.58,0
1407 W. 120TH ST,41.675528,-87.656837,2,5011,0
1408 W. 113TH PL,41.6877313,-87.65722,1,1856.6,0
1417 W. 109TH PL,41.6946429,-87.6576797,3,5246.61,0
1419 W. 109TH PL,41.694648,-87.657872,3,5106.27,0
1422 E. 75TH ST,41.7589686,-87.5898196,24,44775.77,0
1422 W. 113TH PL,41.6877227,-87.6578625,21,40578.6,0
1423 S. ASHLAND AVE,41.862568,-87.665868,4,5676.57,0
1423-1425 S. ASHLAND AVE,41.862568,-87.665868,1,923.21,0
1425 S. ASHLAND AVE,41.862501,-87.665866,6,11167.16,0
1431 W. 109TH PL,41.694661,-87.6581584,7,11576.39,0
1432 W. 61ST ST,41.783432,-87.66085,18,42268.68,0
1436 W. 61ST ST,41.78343,-87.660962,17,44587.46,0
1438 W. 61ST ST,41.783428,-87.661076,11,37286.79,0
1459 W. ROOSEVELT RD,41.866625,-87.663843,3,11747.36,0
1472 W. 73RD PL,41.760661,-87.661713,15,28521.45,0
15 E. 61ST ST,41.7837155,-87.6247922,1,616.14,0
15 E. 63RD ST,41.7798053,-87.6248337,1,0,2283.16
1500 W. MARQUETTE RD,41.772495,-87.661821,20,44456.4,0
1518-1532 W. MILLARD,41.8781136,-87.6297982,1,-184.3,801.81
1519 W. 63RD ST,41.779241,-87.662724,10,12615.73,0
1520 S. MILLARD AVE,41.860116,-87.716812,6,11200.53,0
1524 W. 71ST ST,41.7651343,-87.6623959,1,0,0
1529 W. 113TH PL,41.6872534,-87.6610624,6,18872.82,0
1537 S. HOMAN AVE,41.8597698,-87.7100455,7,10799.65,0
1548 S. SAWYER AVE,41.8594821,-87.7070451,24,34871.65,0
16 W. 107TH ST,41.6997002,-87.6259057,3,9178.61,0
1601 S. ST LOUIS AVE,41.858854,-87.712417,22,33854.47,0
1648 S. PULASKI RD,41.857402,-87.7252759,2,-28.13,0
1651 W. 71ST ST,41.7646254,-87.6657649,6,8313.19,0
1847 W. 59TH ST,41.7865089,-87.6711019,14,23843.12,0
1851 W. 59TH ST,41.786502,-87.6713109,6,15415.59,0
20 E. 54TH ST,41.796726,-87.624871,3,1601.55,0
20 W. 107TH ST,41.6998586,-87.6242634,1,0,0
2003 W. 70TH PL,41.7654657,-87.6737699,3,7264.38,0
2017 W. 53RD ST,41.79731,-87.675272,3,13888.98,0
2020 W. 52ND PL,41.7982704,-87.6753981,6,11635.04,0
208 S. CICERO AVE,41.8782424,-87.7455515,1,528.26,0
208-210 S. CICERO AVE,41.8782424,-87.7455515,1,599.37,0
2120 W. 69TH PL,41.767767,-87.677045,5,10459.5,0
2139 W. 52ND PL,41.7977524,-87.6783371,1,1643.18,0
215 W. 108TH ST,41.697731,-87.62873,12,24666.71,0
217 W. 108TH ST,41.69773,-87.628843,10,18730.07,0
22 E. 54TH ST,41.796728,-87.624779,3,3038.4,0
221 N. KILDARE AVE,41.884111,-87.732641,8,24891.56,0
222 W. 108TH PL,41.6972672,-87.6290111,18,34751.46,0
222 W. 110TH PL,41.693697,-87.6288579,7,16878.27,0
2238 S. RIDGEWAY AVE,41.850401,-87.718977,23,56445.02,0
2246 S. RIDGEWAY AVE,41.850266,-87.719,17,23385.61,0
226 W. 108TH PL,41.6972719,-87.6292425,11,23397.84,0
227 S. CICERO AVE,41.877192,-87.744885,35,40640.9,1055.08
228 W. 107TH ST,41.6999789,-87.629416,10,16021.85,0
228 W. 108TH PL,41.6973311,-87.6293387,13,19605.7,1021.16
232 W. 107TH ST,41.6999625,-87.6296198,14,23279.29,0
233 W. 107TH PL,41.6986447,-87.6295911,6,10308.31,0
234 W. 103RD ST,41.70737,-87.629702,3,5073.11,0
235 W. 104TH PL,41.7042004,-87.6295711,4,2881.99,1839.38
